!  MA19 2000 MEV P(200) CHI/DP=51634/25553                SM05   10/ 7/19
!                    PI0P Waves for L= 2   10/ 7/19
!  WCM     D35  pE   D35  pM   D15  pE   D15  pM   D15  nE   D15  nM
 1290.0   -0.8822    0.1047    0.5384   -0.3749   -0.5654    0.3095           0.0125   -0.0014    0.0143   -0.0077   -0.0153    0.0175
 1295.0   -0.8830    0.1007    0.5377   -0.3721   -0.5647    0.3044           0.0130   -0.0014    0.0148   -0.0078   -0.0159    0.0186
 1300.0   -0.8835    0.0968    0.5369   -0.3691   -0.5637    0.2991           0.0136   -0.0014    0.0154   -0.0078   -0.0165    0.0198
 1305.0   -0.8839    0.0928    0.5360   -0.3658   -0.5627    0.2935           0.0141   -0.0014    0.0159   -0.0078   -0.0171    0.0210
 1310.0   -0.8840    0.0889    0.5349   -0.3623   -0.5615    0.2876           0.0147   -0.0014    0.0165   -0.0078   -0.0177    0.0222
 1315.0   -0.8840    0.0851    0.5338   -0.3585   -0.5603    0.2815           0.0152   -0.0014    0.0170   -0.0077   -0.0183    0.0235
 1320.0   -0.8838    0.0813    0.5326   -0.3545   -0.5589    0.2751           0.0158   -0.0014    0.0176   -0.0077   -0.0190    0.0247
 1325.0   -0.8834    0.0776    0.5313   -0.3503   -0.5575    0.2685           0.0163   -0.0014    0.0182   -0.0076   -0.0196    0.0260
 1330.0   -0.8829    0.0739    0.5300   -0.3459   -0.5559    0.2616           0.0169   -0.0014    0.0188   -0.0074   -0.0202    0.0273
 1335.0   -0.8822    0.0702    0.5286   -0.3413   -0.5543    0.2545           0.0174   -0.0013    0.0193   -0.0073   -0.0209    0.0286
 1340.0   -0.8813    0.0667    0.5271   -0.3366   -0.5526    0.2471           0.0180   -0.0013    0.0199   -0.0071   -0.0216    0.0299
 1345.0   -0.8804    0.0632    0.5255   -0.3316   -0.5508    0.2395           0.0186   -0.0013    0.0205   -0.0069   -0.0222    0.0312
 1350.0   -0.8793    0.0598    0.5239   -0.3265   -0.5489    0.2316           0.0191   -0.0012    0.0212   -0.0066   -0.0229    0.0326
 1355.0   -0.8780    0.0564    0.5222   -0.3212   -0.5470    0.2235           0.0197   -0.0012    0.0218   -0.0063   -0.0236    0.0339
 1360.0   -0.8766    0.0532    0.5205   -0.3157   -0.5450    0.2151           0.0202   -0.0012    0.0224   -0.0060   -0.0243    0.0352
 1365.0   -0.8751    0.0500    0.5192   -0.3104   -0.5434    0.2065           0.0208   -0.0011    0.0231   -0.0056   -0.0251    0.0366
 1370.0   -0.8735    0.0469    0.5174   -0.3047   -0.5412    0.1975           0.0213   -0.0011    0.0237   -0.0052   -0.0258    0.0379
 1375.0   -0.8717    0.0439    0.5155   -0.2988   -0.5390    0.1882           0.0219   -0.0010    0.0244   -0.0047   -0.0266    0.0392
 1380.0   -0.8699    0.0409    0.5141   -0.2930   -0.5373    0.1787           0.0224   -0.0010    0.0251   -0.0042   -0.0273    0.0406
 1385.0   -0.8680    0.0381    0.5121   -0.2869   -0.5350    0.1688           0.0229   -0.0009    0.0258   -0.0036   -0.0281    0.0418
 1390.0   -0.8659    0.0354    0.5105   -0.2809   -0.5331    0.1586           0.0235   -0.0009    0.0265   -0.0030   -0.0289    0.0431
 1395.0   -0.8638    0.0327    0.5089   -0.2748   -0.5311    0.1481           0.0240   -0.0008    0.0273   -0.0023   -0.0298    0.0443
 1400.0   -0.8614    0.0302    0.5069   -0.2683   -0.5287    0.1372           0.0246   -0.0008    0.0280   -0.0016   -0.0306    0.0455
 1405.0   -0.8591    0.0277    0.5052   -0.2620   -0.5266    0.1259           0.0251   -0.0007    0.0288   -0.0008   -0.0315    0.0466
 1410.0   -0.8567    0.0253    0.5034   -0.2555   -0.5245    0.1143           0.0256   -0.0007    0.0296    0.0001   -0.0324    0.0476
 1415.0   -0.8541    0.0231    0.5017   -0.2490   -0.5224    0.1022           0.0261   -0.0006    0.0305    0.0010   -0.0334    0.0486
 1420.0   -0.8516    0.0209    0.4998   -0.2423   -0.5202    0.0897           0.0266   -0.0006    0.0314    0.0020   -0.0343    0.0494
 1425.0   -0.8488    0.0188    0.4980   -0.2356   -0.5179    0.0768           0.0271   -0.0005    0.0322    0.0030   -0.0353    0.0501
 1430.0   -0.8461    0.0168    0.4961   -0.2287   -0.5156    0.0634           0.0276   -0.0005    0.0332    0.0042   -0.0364    0.0507
 1435.0   -0.8431    0.0149    0.4941   -0.2218   -0.5133    0.0496           0.0281   -0.0004    0.0341    0.0054   -0.0374    0.0511
 1440.0   -0.8402    0.0132    0.4925   -0.2150   -0.5113    0.0352           0.0286   -0.0004    0.0351    0.0067   -0.0385    0.0513
 1445.0   -0.8371    0.0115    0.4905   -0.2079   -0.5088    0.0203           0.0291   -0.0003    0.0362    0.0081   -0.0397    0.0514
 1450.0   -0.8341    0.0099    0.4884   -0.2007   -0.5063    0.0049           0.0295   -0.0003    0.0372    0.0096   -0.0409    0.0512
 1455.0   -0.8309    0.0084    0.4866   -0.1936   -0.5042   -0.0111           0.0300   -0.0003    0.0384    0.0112   -0.0421    0.0507
 1460.0   -0.8276    0.0070    0.4849   -0.1864   -0.5020   -0.0277           0.0305   -0.0002    0.0395    0.0130   -0.0434    0.0500
 1465.0   -0.8243    0.0056    0.4826   -0.1789   -0.4994   -0.0448           0.0309   -0.0002    0.0407    0.0149   -0.0448    0.0490
