!  MA19 2000 MEV P(200) CHI/DP=51634/25553                SM05   10/ 7/19
!                    PI0P Waves for L= 1   10/ 7/19
!  WCM     P31  pE   P31  pM   P11  pE   P11  pM   P11  nE   P11  nM
 1300.0    0.0000   -6.4574    0.0000    3.3118    0.0000   -5.8080           0.0000    1.1303    0.0000    0.7995    0.0000   -1.4485
 1305.0    0.0000   -6.3376    0.0000    3.3907    0.0000   -5.8182           0.0000    1.1631    0.0000    0.9063    0.0000   -1.6016
 1310.0    0.0000   -6.2156    0.0000    3.4635    0.0000   -5.8127           0.0000    1.1963    0.0000    1.0234    0.0000   -1.7630
 1315.0    0.0000   -6.0917    0.0000    3.5299    0.0000   -5.7921           0.0000    1.2300    0.0000    1.1513    0.0000   -1.9321
 1320.0    0.0000   -5.9665    0.0000    3.5869    0.0000   -5.7527           0.0000    1.2644    0.0000    1.2896    0.0000   -2.1071
 1325.0    0.0000   -5.8402    0.0000    3.6343    0.0000   -5.6952           0.0000    1.2994    0.0000    1.4380    0.0000   -2.2864
 1330.0    0.0000   -5.7142    0.0000    3.6687    0.0000   -5.6162           0.0000    1.3354    0.0000    1.5961    0.0000   -2.4680
 1335.0    0.0000   -5.5880    0.0000    3.6895    0.0000   -5.5165           0.0000    1.3723    0.0000    1.7623    0.0000   -2.6488
 1340.0    0.0000   -5.4612    0.0000    3.6905    0.0000   -5.3894           0.0000    1.4100    0.0000    1.9349    0.0000   -2.8254
 1345.0    0.0000   -5.3361    0.0000    3.6762    0.0000   -5.2434           0.0000    1.4496    0.0000    2.1114    0.0000   -2.9939
 1350.0    0.0000   -5.2116    0.0000    3.6400    0.0000   -5.0720           0.0000    1.4892    0.0000    2.2890    0.0000   -3.1505
 1355.0    0.0000   -5.0889    0.0000    3.5807    0.0000   -4.8763           0.0000    1.5313    0.0000    2.4643    0.0000   -3.2910
 1360.0    0.0000   -4.9684    0.0000    3.5060    0.0000   -4.6686           0.0000    1.5730    0.0000    2.6338    0.0000   -3.4116
 1365.0    0.0000   -4.8506    0.0000    3.4091    0.0000   -4.4423           0.0000    1.6159    0.0000    2.7940    0.0000   -3.5095
 1370.0    0.0000   -4.7367    0.0000    3.2947    0.0000   -4.2057           0.0000    1.6597    0.0000    2.9413    0.0000   -3.5817
 1375.0    0.0000   -4.6248    0.0000    3.1652    0.0000   -3.9630           0.0000    1.7029    0.0000    3.0750    0.0000   -3.6295
 1380.0    0.0000   -4.5180    0.0000    3.0226    0.0000   -3.7182           0.0000    1.7469    0.0000    3.1903    0.0000   -3.6498
 1385.0    0.0000   -4.4143    0.0000    2.8703    0.0000   -3.4752           0.0000    1.7896    0.0000    3.2862    0.0000   -3.6436
 1390.0    0.0000   -4.3149    0.0000    2.7145    0.0000   -3.2416           0.0000    1.8321    0.0000    3.3679    0.0000   -3.6188
 1395.0    0.0000   -4.2195    0.0000    2.5548    0.0000   -3.0167           0.0000    1.8732    0.0000    3.4278    0.0000   -3.5696
 1400.0    0.0000   -4.1291    0.0000    2.3954    0.0000   -2.8043           0.0000    1.9123    0.0000    3.4713    0.0000   -3.5037
 1405.0    0.0000   -4.0427    0.0000    2.2380    0.0000   -2.6053           0.0000    1.9499    0.0000    3.5010    0.0000   -3.4252
 1410.0    0.0000   -3.9602    0.0000    2.0845    0.0000   -2.4210           0.0000    1.9848    0.0000    3.5125    0.0000   -3.3316
 1415.0    0.0000   -3.8816    0.0000    1.9363    0.0000   -2.2515           0.0000    2.0179    0.0000    3.5155    0.0000   -3.2329
 1420.0    0.0000   -3.8075    0.0000    1.7939    0.0000   -2.0963           0.0000    2.0465    0.0000    3.5060    0.0000   -3.1265
 1425.0    0.0000   -3.7361    0.0000    1.6584    0.0000   -1.9553           0.0000    2.0738    0.0000    3.4871    0.0000   -3.0161
 1430.0    0.0000   -3.6692    0.0000    1.5298    0.0000   -1.8276           0.0000    2.0982    0.0000    3.4583    0.0000   -2.9018
 1435.0    0.0000   -3.6046    0.0000    1.4079    0.0000   -1.7122           0.0000    2.1187    0.0000    3.4260    0.0000   -2.7892
 1440.0    0.0000   -3.5450    0.0000    1.2927    0.0000   -1.6077           0.0000    2.1352    0.0000    3.3877    0.0000   -2.6764
 1445.0    0.0000   -3.4875    0.0000    1.1846    0.0000   -1.5140           0.0000    2.1488    0.0000    3.3455    0.0000   -2.5655
 1450.0    0.0000   -3.4320    0.0000    1.0821    0.0000   -1.4293           0.0000    2.1587    0.0000    3.3000    0.0000   -2.4566
 1455.0    0.0000   -3.3794    0.0000    0.9859    0.0000   -1.3528           0.0000    2.1657    0.0000    3.2517    0.0000   -2.3506
 1460.0    0.0000   -3.3293    0.0000    0.8945    0.0000   -1.2836           0.0000    2.1683    0.0000    3.2018    0.0000   -2.2478
 1465.0    0.0000   -3.2816    0.0000    0.8085    0.0000   -1.2213           0.0000    2.1673    0.0000    3.1506    0.0000   -2.1486
 1470.0    0.0000   -3.2347    0.0000    0.7271    0.0000   -1.1648           0.0000    2.1637    0.0000    3.0982    0.0000   -2.0529
 1475.0    0.0000   -3.1899    0.0000    0.6500    0.0000   -1.1134           0.0000    2.1561    0.0000    3.0456    0.0000   -1.9611
 1480.0    0.0000   -3.1472    0.0000    0.5762    0.0000   -1.0664           0.0000    2.1445    0.0000    2.9927    0.0000   -1.8730
 1485.0    0.0000   -3.1049    0.0000    0.5062    0.0000   -1.0236           0.0000    2.1307    0.0000    2.9395    0.0000   -1.7886
 1490.0    0.0000   -3.0643    0.0000    0.4398    0.0000   -0.9845           0.0000    2.1124    0.0000    2.8866    0.0000   -1.7079
 1495.0    0.0000   -3.0247    0.0000    0.3759    0.0000   -0.9484           0.0000    2.0921    0.0000    2.8338    0.0000   -1.6308
 1500.0    0.0000   -2.9851    0.0000    0.3146    0.0000   -0.9151           0.0000    2.0684    0.0000    2.7821    0.0000   -1.5573
 1505.0    0.0000   -2.9467    0.0000    0.2556    0.0000   -0.8842           0.0000    2.0416    0.0000    2.7304    0.0000   -1.4871
 1510.0    0.0000   -2.9086    0.0000    0.1986    0.0000   -0.8555           0.0000    2.0125    0.0000    2.6791    0.0000   -1.4201
 1515.0    0.0000   -2.8706    0.0000    0.1436    0.0000   -0.8289           0.0000    1.9806    0.0000    2.6281    0.0000   -1.3562
