!  MA19 2000 MEV P(200) CHI/DP=51634/25553                SM05    1
!                    PI0P Waves for L= 4    1/22/21
!  WCM     G37  pE   G37  pM   G17  pE   G17  pM   G17  nE   G17  nM
 2025.0   -0.2707    0.2226    0.2393    0.1955   -0.2737   -0.1478           0.0031    0.0470    0.0651    0.2173   -0.0404   -0.0482
 2030.0   -0.2690    0.2324    0.2386    0.1919   -0.2726   -0.1508           0.0031    0.0487    0.0653    0.2212   -0.0395   -0.0487
 2035.0   -0.2672    0.2426    0.2378    0.1881   -0.2715   -0.1540           0.0032    0.0504    0.0653    0.2250   -0.0385   -0.0491
 2040.0   -0.2655    0.2531    0.2369    0.1841   -0.2704   -0.1573           0.0032    0.0522    0.0654    0.2285   -0.0374   -0.0494
 2045.0   -0.2638    0.2639    0.2361    0.1799   -0.2694   -0.1608           0.0032    0.0540    0.0653    0.2319   -0.0362   -0.0497
 2050.0   -0.2621    0.2750    0.2352    0.1756   -0.2684   -0.1645           0.0032    0.0559    0.0652    0.2350   -0.0350   -0.0499
 2055.0   -0.2603    0.2864    0.2342    0.1711   -0.2675   -0.1683           0.0033    0.0579    0.0650    0.2379   -0.0337   -0.0500
 2060.0   -0.2586    0.2982    0.2332    0.1665   -0.2667   -0.1722           0.0033    0.0598    0.0647    0.2405   -0.0323   -0.0501
 2065.0   -0.2568    0.3102    0.2322    0.1618   -0.2659   -0.1763           0.0033    0.0619    0.0643    0.2429   -0.0309   -0.0502
 2070.0   -0.2551    0.3226    0.2312    0.1569   -0.2652   -0.1806           0.0034    0.0640    0.0639    0.2450   -0.0294   -0.0501
 2075.0   -0.2533    0.3353    0.2301    0.1520   -0.2646   -0.1850           0.0034    0.0661    0.0634    0.2468   -0.0279   -0.0500
 2080.0   -0.2516    0.3483    0.2290    0.1471   -0.2641   -0.1894           0.0034    0.0683    0.0628    0.2484   -0.0263   -0.0498
 2085.0   -0.2498    0.3617    0.2278    0.1421   -0.2636   -0.1940           0.0034    0.0706    0.0622    0.2497   -0.0247   -0.0496
 2090.0   -0.2480    0.3754    0.2267    0.1371   -0.2632   -0.1987           0.0035    0.0729    0.0615    0.2507   -0.0231   -0.0493
 2095.0   -0.2463    0.3894    0.2255    0.1321   -0.2629   -0.2035           0.0035    0.0753    0.0608    0.2515   -0.0214   -0.0490
 2100.0   -0.2445    0.4037    0.2243    0.1271   -0.2626   -0.2084           0.0035    0.0777    0.0599    0.2520   -0.0198   -0.0485
 2105.0   -0.2427    0.4183    0.2231    0.1221   -0.2625   -0.2133           0.0036    0.0802    0.0591    0.2523   -0.0181   -0.0481
 2110.0   -0.2410    0.4334    0.2219    0.1172   -0.2624   -0.2183           0.0036    0.0828    0.0582    0.2522   -0.0164   -0.0476
 2115.0   -0.2392    0.4487    0.2207    0.1124   -0.2624   -0.2233           0.0036    0.0854    0.0572    0.2520   -0.0147   -0.0470
 2120.0   -0.2374    0.4643    0.2195    0.1076   -0.2625   -0.2284           0.0036    0.0881    0.0562    0.2515   -0.0130   -0.0464
 2125.0   -0.2356    0.4803    0.2182    0.1029   -0.2627   -0.2335           0.0037    0.0909    0.0552    0.2507   -0.0113   -0.0457
 2130.0   -0.2338    0.4966    0.2170    0.0984   -0.2629   -0.2386           0.0037    0.0937    0.0542    0.2498   -0.0096   -0.0450
 2135.0   -0.2320    0.5133    0.2158    0.0939   -0.2632   -0.2437           0.0037    0.0966    0.0531    0.2486   -0.0079   -0.0443
 2140.0   -0.2302    0.5303    0.2145    0.0896   -0.2636   -0.2488           0.0037    0.0996    0.0520    0.2473   -0.0063   -0.0435
 2145.0   -0.2284    0.5475    0.2133    0.0854   -0.2640   -0.2540           0.0038    0.1026    0.0509    0.2457   -0.0046   -0.0427
 2150.0   -0.2266    0.5652    0.2121    0.0814   -0.2645   -0.2591           0.0038    0.1057    0.0498    0.2440   -0.0030   -0.0418
 2155.0   -0.2248    0.5833    0.2109    0.0775   -0.2651   -0.2642           0.0038    0.1089    0.0486    0.2421   -0.0015   -0.0410
 2160.0   -0.2230    0.6015    0.2097    0.0737   -0.2657   -0.2692           0.0038    0.1122    0.0475    0.2401    0.0001   -0.0401
 2165.0   -0.2212    0.6202    0.2085    0.0701   -0.2664   -0.2743           0.0039    0.1155    0.0463    0.2379    0.0016   -0.0392
 2170.0   -0.2194    0.6392    0.2074    0.0667   -0.2672   -0.2793           0.0039    0.1189    0.0452    0.2357    0.0031   -0.0383
 2175.0   -0.2176    0.6584    0.2062    0.0634   -0.2679   -0.2842           0.0039    0.1224    0.0440    0.2333    0.0045   -0.0374
 2180.0   -0.2158    0.6781    0.2051    0.0603   -0.2688   -0.2891           0.0039    0.1260    0.0429    0.2308    0.0059   -0.0364
 2185.0   -0.2140    0.6980    0.2040    0.0574   -0.2696   -0.2940           0.0040    0.1297    0.0417    0.2282    0.0073   -0.0355
 2190.0   -0.2122    0.7182    0.2029    0.0546   -0.2705   -0.2988           0.0040    0.1334    0.0406    0.2255    0.0086   -0.0345
 2195.0   -0.2104    0.7389    0.2018    0.0520   -0.2715   -0.3035           0.0040    0.1372    0.0395    0.2228    0.0099   -0.0336
 2200.0   -0.2086    0.7597    0.2007    0.0495   -0.2724   -0.3082           0.0040    0.1412    0.0384    0.2200    0.0111   -0.0326
 2205.0   -0.2068    0.7809    0.1997    0.0472   -0.2734   -0.3129           0.0040    0.1452    0.0373    0.2172    0.0123   -0.0316
 2210.0   -0.2050    0.8024    0.1987    0.0450   -0.2744   -0.3174           0.0041    0.1493    0.0362    0.2143    0.0135   -0.0307
 2215.0   -0.2031    0.8243    0.1977    0.0430   -0.2755   -0.3220           0.0041    0.1535    0.0352    0.2114    0.0146   -0.0297
 2220.0   -0.2013    0.8464    0.1967    0.0412   -0.2765   -0.3264           0.0041    0.1577    0.0341    0.2085    0.0156   -0.0288
 2225.0   -0.1995    0.8688    0.1957    0.0395   -0.2776   -0.3308           0.0041    0.1621    0.0331    0.2055    0.0167   -0.0278
 2230.0   -0.1977    0.8915    0.1948    0.0379   -0.2787   -0.3351           0.0041    0.1666    0.0321    0.2026    0.0177   -0.0269
 2235.0   -0.1959    0.9146    0.1939    0.0364   -0.2798   -0.3394           0.0042    0.1712    0.0311    0.1996    0.0186   -0.0259
 2240.0   -0.1940    0.9379    0.1930    0.0351   -0.2809   -0.3436           0.0042    0.1758    0.0302    0.1967    0.0196   -0.0250
 2245.0   -0.1922    0.9615    0.1921    0.0339   -0.2820   -0.3478           0.0042    0.1806    0.0293    0.1937    0.0204   -0.0241
 2250.0   -0.1904    0.9853    0.1912    0.0329   -0.2832   -0.3519           0.0042    0.1855    0.0283    0.1908    0.0213   -0.0232
 2255.0   -0.1886    1.0095    0.1904    0.0319   -0.2843   -0.3559           0.0042    0.1905    0.0275    0.1879    0.0221   -0.0223
 2260.0   -0.1868    1.0338    0.1895    0.0311   -0.2854   -0.3599           0.0043    0.1955    0.0266    0.1850    0.0229   -0.0214
 2265.0   -0.1850    1.0586    0.1887    0.0304   -0.2866   -0.3638           0.0043    0.2007    0.0257    0.1821    0.0236   -0.0205
 2270.0   -0.1831    1.0835    0.1879    0.0297   -0.2877   -0.3677           0.0043    0.2060    0.0249    0.1792    0.0244   -0.0197
 2275.0   -0.1813    1.1087    0.1871    0.0292   -0.2889   -0.3716           0.0043    0.2115    0.0241    0.1764    0.0250   -0.0188
 2280.0   -0.1795    1.1343    0.1864    0.0288   -0.2900   -0.3753           0.0043    0.2170    0.0233    0.1736    0.0257   -0.0179
 2285.0   -0.1777    1.1599    0.1856    0.0284   -0.2912   -0.3791           0.0043    0.2226    0.0226    0.1708    0.0263   -0.0171
 2290.0   -0.1759    1.1859    0.1849    0.0282   -0.2923   -0.3827           0.0043    0.2284    0.0218    0.1681    0.0269   -0.0163
 2295.0   -0.1740    1.2121    0.1841    0.0280   -0.2934   -0.3864           0.0044    0.2343    0.0211    0.1654    0.0275   -0.0155
 2300.0   -0.1722    1.2386    0.1834    0.0279   -0.2946   -0.3900           0.0044    0.2403    0.0204    0.1627    0.0281   -0.0147
 2305.0   -0.1704    1.2652    0.1827    0.0278   -0.2957   -0.3935           0.0044    0.2464    0.0197    0.1601    0.0286   -0.0139
 2310.0   -0.1686    1.2920    0.1821    0.0279   -0.2968   -0.3970           0.0044    0.2527    0.0191    0.1575    0.0291   -0.0131
 2315.0   -0.1668    1.3191    0.1814    0.0280   -0.2979   -0.4005           0.0044    0.2590    0.0184    0.1550    0.0296   -0.0123
 2320.0   -0.1650    1.3465    0.1807    0.0282   -0.2990   -0.4039           0.0044    0.2655    0.0178    0.1525    0.0300   -0.0116
 2325.0   -0.1631    1.3740    0.1801    0.0284   -0.3001   -0.4073           0.0044    0.2722    0.0172    0.1500    0.0305   -0.0108
 2330.0   -0.1613    1.4016    0.1795    0.0287   -0.3012   -0.4107           0.0044    0.2789    0.0166    0.1476    0.0309   -0.0101
 2335.0   -0.1595    1.4296    0.1788    0.0290   -0.3023   -0.4140           0.0045    0.2858    0.0160    0.1452    0.0313   -0.0093
 2340.0   -0.1577    1.4576    0.1782    0.0294   -0.3034   -0.4173           0.0045    0.2929    0.0154    0.1428    0.0317   -0.0086
 2345.0   -0.1559    1.4858    0.1776    0.0298   -0.3044   -0.4205           0.0045    0.3001    0.0149    0.1405    0.0321   -0.0079
 2350.0   -0.1541    1.5143    0.1770    0.0303   -0.3055   -0.4238           0.0045    0.3074    0.0144    0.1383    0.0324   -0.0072
 2355.0   -0.1523    1.5429    0.1765    0.0308   -0.3065   -0.4270           0.0045    0.3148    0.0139    0.1360    0.0328   -0.0065
 2360.0   -0.1505    1.5716    0.1759    0.0314   -0.3076   -0.4301           0.0045    0.3224    0.0134    0.1339    0.0331   -0.0058
 2365.0   -0.1487    1.6005    0.1753    0.0320   -0.3086   -0.4333           0.0045    0.3302    0.0129    0.1317    0.0334   -0.0051
 2370.0   -0.1469    1.6295    0.1748    0.0327   -0.3096   -0.4364           0.0045    0.3381    0.0124    0.1296    0.0337   -0.0045
 2375.0   -0.1451    1.6587    0.1742    0.0333   -0.3106   -0.4395           0.0045    0.3461    0.0120    0.1275    0.0340   -0.0038
 2380.0   -0.1433    1.6880    0.1737    0.0340   -0.3116   -0.4426           0.0045    0.3543    0.0115    0.1255    0.0343   -0.0031
 2385.0   -0.1415    1.7173    0.1731    0.0348   -0.3126   -0.4457           0.0045    0.3627    0.0111    0.1235    0.0346   -0.0025
 2390.0   -0.1397    1.7469    0.1726    0.0355   -0.3136   -0.4487           0.0045    0.3712    0.0107    0.1216    0.0349   -0.0018
 2395.0   -0.1379    1.7765    0.1721    0.0363   -0.3146   -0.4517           0.0045    0.3798    0.0103    0.1196    0.0351   -0.0012
 2400.0   -0.1361    1.8062    0.1716    0.0371   -0.3155   -0.4547           0.0045    0.3887    0.0099    0.1178    0.0354   -0.0006
 2405.0   -0.1344    1.8360    0.1711    0.0379   -0.3165   -0.4577           0.0045    0.3976    0.0095    0.1159    0.0356    0.0001
 2410.0   -0.1326    1.8659    0.1706    0.0388   -0.3174   -0.4606           0.0045    0.4068    0.0091    0.1141    0.0358    0.0007
 2415.0   -0.1308    1.8959    0.1701    0.0397   -0.3183   -0.4636           0.0045    0.4161    0.0087    0.1123    0.0360    0.0013
 2420.0   -0.1290    1.9259    0.1696    0.0406   -0.3193   -0.4665           0.0045    0.4256    0.0084    0.1106    0.0362    0.0019
 2425.0   -0.1272    1.9561    0.1691    0.0415   -0.3202   -0.4694           0.0045    0.4353    0.0080    0.1089    0.0365    0.0025
 2430.0   -0.1255    1.9861    0.1686    0.0424   -0.3211   -0.4723           0.0045    0.4451    0.0077    0.1072    0.0367    0.0031
 2435.0   -0.1237    2.0164    0.1682    0.0433   -0.3220   -0.4752           0.0045    0.4551    0.0073    0.1055    0.0369    0.0038
 2440.0   -0.1219    2.0465    0.1677    0.0443   -0.3229   -0.4781           0.0045    0.4653    0.0070    0.1039    0.0370    0.0044
 2445.0   -0.1202    2.0767    0.1672    0.0453   -0.3238   -0.4810           0.0045    0.4756    0.0067    0.1023    0.0372    0.0050
 2450.0   -0.1184    2.1070    0.1668    0.0462   -0.3246   -0.4838           0.0045    0.4862    0.0064    0.1008    0.0374    0.0055
 2455.0   -0.1166    2.1373    0.1663    0.0472   -0.3255   -0.4867           0.0045    0.4969    0.0061    0.0992    0.0376    0.0061
 2460.0   -0.1149    2.1675    0.1659    0.0482   -0.3264   -0.4895           0.0045    0.5078    0.0058    0.0977    0.0378    0.0067
 2465.0   -0.1131    2.1977    0.1654    0.0492   -0.3272   -0.4923           0.0044    0.5189    0.0055    0.0962    0.0379    0.0073
 2470.0   -0.1114    2.2280    0.1650    0.0503   -0.3280   -0.4952           0.0044    0.5302    0.0053    0.0948    0.0381    0.0079
 2475.0   -0.1096    2.2583    0.1645    0.0513   -0.3289   -0.4980           0.0044    0.5417    0.0050    0.0934    0.0383    0.0085
 2480.0   -0.1079    2.2883    0.1641    0.0523   -0.3297   -0.5008           0.0044    0.5533    0.0047    0.0920    0.0384    0.0091
 2485.0   -0.1062    2.3184    0.1637    0.0534   -0.3305   -0.5035           0.0044    0.5652    0.0045    0.0906    0.0386    0.0097
 2490.0   -0.1044    2.3485    0.1632    0.0544   -0.3313   -0.5063           0.0044    0.5773    0.0042    0.0892    0.0388    0.0103
 2495.0   -0.1027    2.3785    0.1628    0.0555   -0.3321   -0.5091           0.0044    0.5895    0.0040    0.0879    0.0389    0.0108
 2500.0   -0.1010    2.4085    0.1624    0.0565   -0.3329   -0.5119           0.0043    0.6020    0.0037    0.0866    0.0391    0.0114
