!  MA19 2000 MEV P(200) CHI/DP=51634/25553                SM05   10/ 7/19
!                    PI0P Waves for L= 0   10/ 7/19
!  WCM     S31  pE   S31  pM   S11  pE   S11  pM   S11  nE   S11  nM
 2050.0   -1.7249    0.0000    0.3989    0.0000    0.2339    0.0000           0.4773    0.0000    0.3635    0.0000   -0.3310    0.0000
 2055.0   -1.7045    0.0000    0.3532    0.0000    0.2287    0.0000           0.4582    0.0000    0.4135    0.0000   -0.3325    0.0000
 2060.0   -1.6704    0.0000    0.3432    0.0000    0.2216    0.0000           0.4422    0.0000    0.3703    0.0000   -0.3337    0.0000
 2065.0   -1.6485    0.0000    0.3770    0.0000    0.2129    0.0000           0.4293    0.0000    0.4536    0.0000   -0.3349    0.0000
 2070.0   -1.6246    0.0000    0.2735    0.0000    0.2023    0.0000           0.4111    0.0000    0.3934    0.0000   -0.3355    0.0000
 2075.0   -1.5970    0.0000    0.3110    0.0000    0.1897    0.0000           0.3887    0.0000    0.4036    0.0000   -0.3358    0.0000
 2080.0   -1.5716    0.0000    0.3070    0.0000    0.1752    0.0000           0.3725    0.0000    0.4078    0.0000   -0.3358    0.0000
 2085.0   -1.5471    0.0000    0.3218    0.0000    0.1583    0.0000           0.3596    0.0000    0.4023    0.0000   -0.3355    0.0000
 2090.0   -1.5234    0.0000    0.2346    0.0000    0.1396    0.0000           0.3457    0.0000    0.4351    0.0000   -0.3344    0.0000
 2095.0   -1.4976    0.0000    0.2117    0.0000    0.1187    0.0000           0.3262    0.0000    0.3952    0.0000   -0.3335    0.0000
 2100.0   -1.4727    0.0000    0.1552    0.0000    0.0956    0.0000           0.3027    0.0000    0.4588    0.0000   -0.3322    0.0000
 2105.0   -1.4458    0.0000    0.1705    0.0000    0.0702    0.0000           0.2855    0.0000    0.4412    0.0000   -0.3301    0.0000
 2110.0   -1.4197    0.0000    0.0389    0.0000    0.0422    0.0000           0.2718    0.0000    0.4740    0.0000   -0.3281    0.0000
 2115.0   -1.3917    0.0000    0.1114    0.0000    0.0118    0.0000           0.2478    0.0000    0.4182    0.0000   -0.3253    0.0000
 2120.0   -1.3647    0.0000    0.0218    0.0000   -0.0215    0.0000           0.2320    0.0000    0.3542    0.0000   -0.3220    0.0000
 2125.0   -1.3433    0.0000    0.0358    0.0000   -0.0572    0.0000           0.2150    0.0000    0.3937    0.0000   -0.3183    0.0000
 2130.0   -1.3153    0.0000    0.0134    0.0000   -0.0959    0.0000           0.1922    0.0000    0.4158    0.0000   -0.3143    0.0000
 2135.0   -1.2854    0.0000   -0.1663    0.0000   -0.1376    0.0000           0.1808    0.0000    0.4277    0.0000   -0.3098    0.0000
 2140.0   -1.2615    0.0000   -0.1017    0.0000   -0.1821    0.0000           0.1607    0.0000    0.3884    0.0000   -0.3045    0.0000
 2145.0   -1.2387    0.0000   -0.3490    0.0000   -0.2299    0.0000           0.1393    0.0000    0.3240    0.0000   -0.2987    0.0000
 2150.0   -1.2091    0.0000   -0.2585    0.0000   -0.2802    0.0000           0.1246    0.0000    0.3905    0.0000   -0.2922    0.0000
 2155.0   -1.1830    0.0000   -0.4065    0.0000   -0.3345    0.0000           0.1038    0.0000    0.3485    0.0000   -0.2852    0.0000
 2160.0   -1.1528    0.0000   -0.5160    0.0000   -0.3916    0.0000           0.0920    0.0000    0.3477    0.0000   -0.2775    0.0000
 2165.0   -1.1263    0.0000   -0.5741    0.0000   -0.4529    0.0000           0.0636    0.0000    0.3269    0.0000   -0.2689    0.0000
 2170.0   -1.1008    0.0000   -0.5535    0.0000   -0.5171    0.0000           0.0444    0.0000    0.3243    0.0000   -0.2596    0.0000
 2175.0   -1.0740    0.0000   -0.8872    0.0000   -0.5853    0.0000           0.0319    0.0000    0.3136    0.0000   -0.2496    0.0000
 2180.0   -1.0403    0.0000   -0.8992    0.0000   -0.6573    0.0000           0.0078    0.0000    0.2969    0.0000   -0.2383    0.0000
 2185.0   -1.0132    0.0000   -1.1272    0.0000   -0.7333    0.0000          -0.0070    0.0000    0.2955    0.0000   -0.2263    0.0000
 2190.0   -0.9794    0.0000   -1.0032    0.0000   -0.8136    0.0000          -0.0338    0.0000    0.3023    0.0000   -0.2133    0.0000
 2195.0   -0.9578    0.0000   -1.2581    0.0000   -0.8983    0.0000          -0.0537    0.0000    0.2635    0.0000   -0.1990    0.0000
 2200.0   -0.9239    0.0000   -1.4191    0.0000   -0.9862    0.0000          -0.0695    0.0000    0.2668    0.0000   -0.1837    0.0000
 2205.0   -0.8943    0.0000   -1.5347    0.0000   -1.0801    0.0000          -0.0839    0.0000    0.2493    0.0000   -0.1669    0.0000
 2210.0   -0.8662    0.0000   -1.7542    0.0000   -1.1774    0.0000          -0.1078    0.0000    0.2345    0.0000   -0.1489    0.0000
 2215.0   -0.8369    0.0000   -1.9623    0.0000   -1.2796    0.0000          -0.1221    0.0000    0.2272    0.0000   -0.1290    0.0000
 2220.0   -0.8008    0.0000   -2.0192    0.0000   -1.3868    0.0000          -0.1519    0.0000    0.2348    0.0000   -0.1079    0.0000
 2225.0   -0.7695    0.0000   -2.2832    0.0000   -1.4992    0.0000          -0.1665    0.0000    0.2165    0.0000   -0.0852    0.0000
 2230.0   -0.7338    0.0000   -2.2313    0.0000   -1.6155    0.0000          -0.1909    0.0000    0.2072    0.0000   -0.0604    0.0000
 2235.0   -0.7031    0.0000   -2.5511    0.0000   -1.7386    0.0000          -0.2058    0.0000    0.1955    0.0000   -0.0337    0.0000
 2240.0   -0.6741    0.0000   -2.7324    0.0000   -1.8661    0.0000          -0.2223    0.0000    0.2114    0.0000   -0.0050    0.0000
 2245.0   -0.6357    0.0000   -3.2697    0.0000   -1.9981    0.0000          -0.2522    0.0000    0.2703    0.0000    0.0260    0.0000
 2250.0   -0.5990    0.0000   -3.3093    0.0000   -2.1368    0.0000          -0.2608    0.0000    0.1087    0.0000    0.0592    0.0000
 2255.0   -0.5615    0.0000   -3.5753    0.0000   -2.2816    0.0000          -0.2831    0.0000    0.1369    0.0000    0.0948    0.0000
 2260.0   -0.5320    0.0000   -3.7358    0.0000   -2.4312    0.0000          -0.3072    0.0000    0.1548    0.0000    0.1333    0.0000
 2265.0   -0.4932    0.0000   -3.9220    0.0000   -2.5868    0.0000          -0.3157    0.0000    0.1446    0.0000    0.1747    0.0000
 2270.0   -0.4563    0.0000   -4.2139    0.0000   -2.7473    0.0000          -0.3448    0.0000    0.3176    0.0000    0.2193    0.0000
 2275.0   -0.4213    0.0000   -4.7446    0.0000   -2.9158    0.0000          -0.3584    0.0000    0.2724    0.0000    0.2668    0.0000
 2280.0   -0.3770    0.0000   -4.8684    0.0000   -3.0894    0.0000          -0.3803    0.0000    0.2360    0.0000    0.3178    0.0000
 2285.0   -0.3411    0.0000   -5.3229    0.0000   -3.2695    0.0000          -0.4019    0.0000    0.2071    0.0000    0.3725    0.0000
 2290.0   -0.2983    0.0000   -5.5838    0.0000   -3.4549    0.0000          -0.4078    0.0000    0.4097    0.0000    0.4310    0.0000
 2295.0   -0.2641    0.0000   -5.8573    0.0000   -3.6490    0.0000          -0.4355    0.0000    0.2918    0.0000    0.4932    0.0000
 2300.0   -0.2141    0.0000   -6.0099    0.0000   -3.8477    0.0000          -0.4477    0.0000    0.3307    0.0000    0.5599    0.0000
 2305.0   -0.1728    0.0000   -6.8566    0.0000   -4.0527    0.0000          -0.4598    0.0000    0.2786    0.0000    0.6312    0.0000
 2310.0   -0.1337    0.0000   -6.8137    0.0000   -4.2656    0.0000          -0.4788    0.0000    0.4673    0.0000    0.7071    0.0000
 2315.0   -0.0944    0.0000   -7.2282    0.0000   -4.4843    0.0000          -0.4957    0.0000    0.5583    0.0000    0.7878    0.0000
 2320.0   -0.0414    0.0000   -7.7733    0.0000   -4.7100    0.0000          -0.5063    0.0000    0.8163    0.0000    0.8744    0.0000
 2325.0    0.0026    0.0000   -8.0849    0.0000   -4.9415    0.0000          -0.5219    0.0000    0.7010    0.0000    0.9656    0.0000
 2330.0    0.0466    0.0000   -8.5227    0.0000   -5.1806    0.0000          -0.5382    0.0000    0.8475    0.0000    1.0625    0.0000
 2335.0    0.0953    0.0000   -9.1091    0.0000   -5.4265    0.0000          -0.5461    0.0000    0.7688    0.0000    1.1663    0.0000
 2340.0    0.1419    0.0000   -9.5485    0.0000   -5.6778    0.0000          -0.5548    0.0000    1.0554    0.0000    1.2756    0.0000
 2345.0    0.1883    0.0000  -10.0409    0.0000   -5.9386    0.0000          -0.5695    0.0000    1.1210    0.0000    1.3918    0.0000
 2350.0    0.2401    0.0000  -10.7738    0.0000   -6.2032    0.0000          -0.5832    0.0000    1.1692    0.0000    1.5144    0.0000
 2355.0    0.2981    0.0000  -10.8618    0.0000   -6.4762    0.0000          -0.5962    0.0000    1.4983    0.0000    1.6439    0.0000
 2360.0    0.3453    0.0000  -11.1969    0.0000   -6.7547    0.0000          -0.6014    0.0000    1.2728    0.0000    1.7807    0.0000
 2365.0    0.3996    0.0000  -12.0112    0.0000   -7.0411    0.0000          -0.6061    0.0000    1.7532    0.0000    1.9255    0.0000
 2370.0    0.4489    0.0000  -12.7942    0.0000   -7.3323    0.0000          -0.6031    0.0000    1.6559    0.0000    2.0784    0.0000
 2375.0    0.5042    0.0000  -13.3224    0.0000   -7.6301    0.0000          -0.6149    0.0000    1.8615    0.0000    2.2394    0.0000
 2380.0    0.5573    0.0000  -13.5689    0.0000   -7.9355    0.0000          -0.6195    0.0000    2.0396    0.0000    2.4082    0.0000
 2385.0    0.6159    0.0000  -14.2500    0.0000   -8.2442    0.0000          -0.6224    0.0000    2.8697    0.0000    2.5873    0.0000
 2390.0    0.6704    0.0000  -14.9893    0.0000   -8.5613    0.0000          -0.6107    0.0000    2.4001    0.0000    2.7732    0.0000
 2395.0    0.7307    0.0000  -15.5955    0.0000   -8.8845    0.0000          -0.6150    0.0000    3.0597    0.0000    2.9703    0.0000
 2400.0    0.7871    0.0000  -16.0227    0.0000   -9.2119    0.0000          -0.6125    0.0000    3.2185    0.0000    3.1761    0.0000
 2405.0    0.8476    0.0000  -16.3102    0.0000   -9.5445    0.0000          -0.6014    0.0000    3.3607    0.0000    3.3908    0.0000
 2410.0    0.9036    0.0000  -17.1721    0.0000   -9.8854    0.0000          -0.6076    0.0000    3.8401    0.0000    3.6164    0.0000
 2415.0    0.9649    0.0000  -17.5410    0.0000  -10.2300    0.0000          -0.6012    0.0000    4.1413    0.0000    3.8532    0.0000
 2420.0    1.0228    0.0000  -18.6295    0.0000  -10.5800    0.0000          -0.5899    0.0000    4.0557    0.0000    4.0981    0.0000
 2425.0    1.0837    0.0000  -19.1569    0.0000  -10.9321    0.0000          -0.5643    0.0000    4.8744    0.0000    4.3550    0.0000
 2430.0    1.1408    0.0000  -19.8180    0.0000  -11.2931    0.0000          -0.5589    0.0000    5.5143    0.0000    4.6242    0.0000
 2435.0    1.2022    0.0000  -20.4691    0.0000  -11.6552    0.0000          -0.5378    0.0000    5.1813    0.0000    4.9023    0.0000
 2440.0    1.2668    0.0000  -20.9925    0.0000  -12.0208    0.0000          -0.5176    0.0000    5.7957    0.0000    5.1934    0.0000
 2445.0    1.3271    0.0000  -22.1876    0.0000  -12.3946    0.0000          -0.4994    0.0000    6.4058    0.0000    5.4959    0.0000
 2450.0    1.3725    0.0000  -22.7916    0.0000  -12.7679    0.0000          -0.4808    0.0000    7.0124    0.0000    5.8101    0.0000
 2455.0    1.4029    0.0000  -22.7702    0.0000  -13.1400    0.0000          -0.4621    0.0000    7.6148    0.0000    6.1363    0.0000
 2460.0    1.4184    0.0000  -22.0890    0.0000  -13.5105    0.0000          -0.4435    0.0000    8.2121    0.0000    6.4748    0.0000
 2465.0    1.4190    0.0000  -20.7123    0.0000  -13.8789    0.0000          -0.4250    0.0000    8.8034    0.0000    6.8257    0.0000
 2470.0    1.4048    0.0000  -18.6033    0.0000  -14.2444    0.0000          -0.4069    0.0000    9.3878    0.0000    7.1896    0.0000
 2475.0    1.3757    0.0000  -15.7251    0.0000  -14.6064    0.0000          -0.3895    0.0000    9.9649    0.0000    7.5665    0.0000
 2480.0    1.3319    0.0000  -12.0386    0.0000  -14.9644    0.0000          -0.3728    0.0000   10.5332    0.0000    7.9570    0.0000
 2485.0    1.2734    0.0000   -7.5039    0.0000  -15.3176    0.0000          -0.3571    0.0000   11.0919    0.0000    8.3612    0.0000
 2490.0    1.2002    0.0000   -2.0826    0.0000  -15.6654    0.0000          -0.3426    0.0000   11.6411    0.0000    8.7794    0.0000
 2495.0    1.1125    0.0000    4.2689    0.0000  -16.0070    0.0000          -0.3295    0.0000   12.1786    0.0000    9.2121    0.0000
 2500.0    1.0103    0.0000   11.5919    0.0000  -16.3417    0.0000          -0.3180    0.0000   12.7037    0.0000    9.6596    0.0000
