!  MA19 2000 MEV P(200) CHI/DP=51634/25553                SM05   10/ 7/19
!                    PI0P Waves for L= 2   10/ 7/19
!  WCM     D33  pE   D33  pM   D13  pE   D13  pM   D13  nE   D13  nM
 1995.0   -0.1272    0.1322   -0.5812   -0.3069    0.1510    0.3901           0.8767    0.4255   -0.5630    0.0493    0.1332    0.0989
 2000.0   -0.1664    0.1367   -0.5657   -0.3041    0.1516    0.3957           0.8881    0.4238   -0.5945    0.0483    0.1606    0.1089
 2005.0   -0.2034    0.1410   -0.5440   -0.3025    0.1518    0.4003           0.8984    0.4224   -0.5774    0.0544    0.1877    0.1118
 2010.0   -0.2390    0.1451   -0.5158   -0.2997    0.1514    0.4035           0.9075    0.4206   -0.6066    0.0504    0.2162    0.1218
 2015.0   -0.2735    0.1492   -0.5007   -0.3026    0.1510    0.4087           0.9155    0.4192   -0.6042    0.0531    0.2444    0.1268
 2020.0   -0.3043    0.1530   -0.4912   -0.3011    0.1493    0.4131           0.9223    0.4180   -0.6174    0.0542    0.2730    0.1337
 2025.0   -0.3332    0.1568   -0.4793   -0.3030    0.1476    0.4172           0.9278    0.4168   -0.6103    0.0541    0.3021    0.1385
 2030.0   -0.3595    0.1603   -0.4737   -0.3008    0.1445    0.4206           0.9323    0.4156   -0.5982    0.0592    0.3308    0.1415
 2035.0   -0.3834    0.1638   -0.4490   -0.2998    0.1412    0.4214           0.9357    0.4143   -0.6224    0.0624    0.3600    0.1487
 2040.0   -0.4046    0.1672   -0.4521   -0.3056    0.1379    0.4257           0.9378    0.4134   -0.6254    0.0644    0.3896    0.1537
 2045.0   -0.4219    0.1704   -0.4142   -0.3027    0.1332    0.4233           0.9388    0.4124   -0.6450    0.0614    0.4201    0.1611
 2050.0   -0.4368    0.1735   -0.4234   -0.3074    0.1285    0.4264           0.9386    0.4113   -0.6460    0.0666    0.4500    0.1647
 2055.0   -0.4474    0.1765   -0.3721   -0.3039    0.1225    0.4208           0.9372    0.4103   -0.6416    0.0674    0.4805    0.1684
 2060.0   -0.4553    0.1795   -0.3692   -0.3049    0.1162    0.4203           0.9347    0.4096   -0.6544    0.0702    0.5111    0.1733
 2065.0   -0.4603    0.1822   -0.3604   -0.3083    0.1095    0.4186           0.9310    0.4085   -0.6846    0.0677    0.5425    0.1807
 2070.0   -0.4607    0.1849   -0.3459   -0.3065    0.1017    0.4144           0.9261    0.4077   -0.6567    0.0736    0.5735    0.1802
 2075.0   -0.4570    0.1876   -0.3250   -0.3076    0.0936    0.4090           0.9200    0.4072   -0.6808    0.0756    0.6048    0.1856
 2080.0   -0.4499    0.1901   -0.2974   -0.3080    0.0848    0.4018           0.9127    0.4064   -0.6839    0.0793    0.6363    0.1881
 2085.0   -0.4385    0.1925   -0.2634   -0.3079    0.0753    0.3929           0.9041    0.4055   -0.6854    0.0850    0.6679    0.1898
 2090.0   -0.4226    0.1949   -0.2432   -0.3072    0.0651    0.3840           0.8944    0.4050   -0.7049    0.0808    0.7007    0.1948
 2095.0   -0.4021    0.1972   -0.2363   -0.3141    0.0550    0.3767           0.8835    0.4044   -0.7034    0.0860    0.7329    0.1957
 2100.0   -0.3766    0.1994   -0.2030   -0.3137    0.0436    0.3643           0.8712    0.4038   -0.7157    0.0864    0.7656    0.1984
 2105.0   -0.3470    0.2015   -0.1630   -0.3089    0.0311    0.3491           0.8577    0.4032   -0.7267    0.0889    0.7983    0.2003
 2110.0   -0.3098    0.2036   -0.1814   -0.3173    0.0192    0.3407           0.8429    0.4026   -0.7360    0.0934    0.8311    0.2012
 2115.0   -0.2696    0.2056   -0.1276   -0.3143    0.0056    0.3220           0.8270    0.4019   -0.7205    0.1000    0.8641    0.1991
 2120.0   -0.2237    0.2076   -0.1105   -0.3152   -0.0082    0.3060           0.8096    0.4016   -0.7262    0.1038    0.8975    0.1990
 2125.0   -0.1720    0.2095   -0.0654   -0.3150   -0.0229    0.2858           0.7911    0.4013   -0.7060    0.1096    0.9311    0.1958
 2130.0   -0.1130    0.2114   -0.0589   -0.3194   -0.0378    0.2686           0.7712    0.4005   -0.7491    0.1049    0.9655    0.2000
 2135.0   -0.0492    0.2132   -0.0460   -0.3204   -0.0536    0.2485           0.7499    0.4001   -0.7244    0.1152    0.9992    0.1948
 2140.0    0.0211    0.2149   -0.0044   -0.3153   -0.0707    0.2232           0.7273    0.3997   -0.7395    0.1145    1.0338    0.1947
 2145.0    0.0992    0.2167    0.0223   -0.3218   -0.0873    0.1997           0.7035    0.3993   -0.7530    0.1158    1.0684    0.1937
 2150.0    0.1820    0.2184    0.0294   -0.3254   -0.1049    0.1758           0.6782    0.3989   -0.7425    0.1284    1.1023    0.1880
 2155.0    0.2738    0.2201    0.0429   -0.3263   -0.1233    0.1490           0.6515    0.3984   -0.7522    0.1281    1.1376    0.1860
 2160.0    0.3709    0.2217    0.1138   -0.3222   -0.1430    0.1145           0.6235    0.3983   -0.7600    0.1299    1.1730    0.1829
 2165.0    0.4766    0.2233    0.1421   -0.3247   -0.1627    0.0831           0.5941    0.3978   -0.7609    0.1348    1.2078    0.1782
 2170.0    0.5896    0.2249    0.1775   -0.3249   -0.1832    0.0488           0.5634    0.3974   -0.7647    0.1413    1.2433    0.1729
 2175.0    0.7107    0.2265    0.1912   -0.3228   -0.2046    0.0141           0.5311    0.3971   -0.7954    0.1433    1.2795    0.1703
 2180.0    0.8399    0.2281    0.2119   -0.3259   -0.2263   -0.0224           0.4975    0.3968   -0.7903    0.1482    1.3150    0.1634
 2185.0    0.9766    0.2296    0.2395   -0.3275   -0.2488   -0.0617           0.4623    0.3964   -0.7878    0.1472    1.3519    0.1574
 2190.0    1.1227    0.2312    0.3290   -0.3180   -0.2729   -0.1104           0.4258    0.3961   -0.8086    0.1493    1.3882    0.1521
 2195.0    1.2776    0.2327    0.3725   -0.3246   -0.2965   -0.1544           0.3877    0.3958   -0.7966    0.1535    1.4245    0.1431
 2200.0    1.4415    0.2343    0.3921   -0.3220   -0.3214   -0.2003           0.3482    0.3955   -0.7576    0.1701    1.4600    0.1291
 2205.0    1.6146    0.2358    0.4179   -0.3185   -0.3470   -0.2491           0.3071    0.3952   -0.7777    0.1702    1.4978    0.1224
 2210.0    1.7966    0.2374    0.4849   -0.3227   -0.3729   -0.3023           0.2646    0.3949   -0.7909    0.1734    1.5350    0.1139
 2215.0    1.9890    0.2389    0.4931   -0.3262   -0.3995   -0.3532           0.2205    0.3946   -0.8024    0.1788    1.5722    0.1043
 2220.0    2.1915    0.2405    0.5418   -0.3210   -0.4275   -0.4112           0.1749    0.3943   -0.8119    0.1778    1.6101    0.0949
 2225.0    2.4035    0.2421    0.5993   -0.3246   -0.4556   -0.4711           0.1278    0.3940   -0.7942    0.1987    1.6465    0.0788
 2230.0    2.6267    0.2436    0.6294   -0.3190   -0.4851   -0.5328           0.0790    0.3938   -0.7996    0.1929    1.6852    0.0686
 2235.0    2.8602    0.2453    0.6668   -0.3233   -0.5146   -0.5960           0.0287    0.3935   -0.8335    0.1996    1.7224    0.0577
 2240.0    3.1052    0.2469    0.7124   -0.3185   -0.5455   -0.6641          -0.0232    0.3932   -0.8091    0.2091    1.7603    0.0410
 2245.0    3.3611    0.2486    0.8292   -0.3033   -0.5782   -0.7424          -0.0767    0.3930   -0.8456    0.2097    1.7992    0.0300
 2250.0    3.6287    0.2503    0.8916   -0.3001   -0.6105   -0.8171          -0.1318    0.3927   -0.8165    0.2135    1.8379    0.0124
 2255.0    3.9083    0.2519    0.9243   -0.2979   -0.6435   -0.8921          -0.1886    0.3925   -0.8230    0.2195    1.8767   -0.0036
 2260.0    4.1998    0.2537    0.9645   -0.2973   -0.6773   -0.9704          -0.2470    0.3922   -0.8222    0.2287    1.9146   -0.0215
 2265.0    4.5039    0.2555    1.0128   -0.2987   -0.7117   -1.0520          -0.3071    0.3919   -0.8255    0.2392    1.9535   -0.0401
 2270.0    4.8205    0.2573    1.0690   -0.2911   -0.7475   -1.1388          -0.3689    0.3917   -0.8268    0.2408    1.9932   -0.0581
 2275.0    5.1503    0.2592    1.1335   -0.2855   -0.7840   -1.2289          -0.4323    0.3914   -0.8263    0.2443    2.0330   -0.0774
 2280.0    5.4925    0.2611    1.2069   -0.2825   -0.8211   -1.3225          -0.4975    0.3912   -0.7899    0.2633    2.0708   -0.1033
 2285.0    5.8493    0.2630    1.2473   -0.2820   -0.8590   -1.4164          -0.5644    0.3909   -0.8276    0.2593    2.1115   -0.1203
 2290.0    6.2188    0.2650    1.2951   -0.2849   -0.8975   -1.5137          -0.6331    0.3906   -0.7869    0.2706    2.1501   -0.1469
 2295.0    6.6025    0.2671    1.3512   -0.2789   -0.9374   -1.6165          -0.7034    0.3904   -0.7936    0.2831    2.1899   -0.1712
 2300.0    7.0019    0.2692    1.4152   -0.2766   -0.9778   -1.7227          -0.7755    0.3902   -0.7987    0.2850    2.2305   -0.1947
 2305.0    7.4145    0.2713    1.4880   -0.2652   -1.0197   -1.8345          -0.8495    0.3899   -0.7964    0.2896    2.2701   -0.2204
 2310.0    7.8420    0.2735    1.5704   -0.2577   -1.0624   -1.9500          -0.9253    0.3896   -0.7991    0.2950    2.3109   -0.2467
 2315.0    8.2848    0.2758    1.6153   -0.2543   -1.1056   -2.0658          -1.0028    0.3894   -0.7704    0.3021    2.3514   -0.2770
 2320.0    8.7454    0.2782    1.7925   -0.2288   -1.1515   -2.1987          -1.0820    0.3891   -0.8111    0.3123    2.3912   -0.3037
 2325.0    9.2199    0.2806    1.8554   -0.2354   -1.1960   -2.3217          -1.1634    0.3888   -0.8274    0.3089    2.4327   -0.3314
 2330.0    9.7105    0.2830    1.9266   -0.2188   -1.2427   -2.4530          -1.2464    0.3886   -0.7882    0.3220    2.4722   -0.3669
 2335.0   10.2177    0.2855    2.0072   -0.2075   -1.2902   -2.5879          -1.3313    0.3883   -0.8030    0.3272    2.5135   -0.3984
 2340.0   10.7418    0.2882    2.0969   -0.2021   -1.3383   -2.7267          -1.4181    0.3881   -0.7862    0.3423    2.5541   -0.4354
 2345.0   11.2831    0.2908    2.1447   -0.2029   -1.3869   -2.8657          -1.5069    0.3878   -0.7106    0.3553    2.5935   -0.4776
 2350.0   11.8386    0.2936    2.2532   -0.1950   -1.4372   -3.0144          -1.5975    0.3875   -0.7741    0.3514    2.6359   -0.5081
 2355.0   12.4152    0.2964    2.3185   -0.1779   -1.4888   -3.1659          -1.6900    0.3873   -0.7158    0.3744    2.6747   -0.5539
 2360.0   13.0100    0.2993    2.3924   -0.1677   -1.5410   -3.3212          -1.7846    0.3870   -0.7479    0.3783    2.7165   -0.5912
 2365.0   13.6226    0.3022    2.5298   -0.1654   -1.5941   -3.4839          -1.8811    0.3867   -0.7805    0.3784    2.7586   -0.6293
 2370.0   14.2506    0.3053    2.6231   -0.1539   -1.6485   -3.6497          -1.9794    0.3864   -0.7191    0.3906    2.7983   -0.6779
 2375.0   14.9019    0.3084    2.7258   -0.1332   -1.7046   -3.8220          -2.0799    0.3862   -0.7189    0.3997    2.8397   -0.7233
 2380.0   15.5730    0.3117    2.8388   -0.1207   -1.7613   -3.9984          -2.1824    0.3859   -0.7681    0.4061    2.8800   -0.7668
 2385.0   16.2590    0.3150    2.9035   -0.0988   -1.8194   -4.1778          -2.2867    0.3856   -0.6780    0.4222    2.9206   -0.8233
 2390.0   16.9702    0.3184    3.0364   -0.0860   -1.8785   -4.3651          -2.3934    0.3853   -0.6440    0.4341    2.9616   -0.8771
 2395.0   17.6966    0.3219    3.1796   -0.0830   -1.9381   -4.5564          -2.5020    0.3851   -0.6615    0.4447    3.0014   -0.9294
 2400.0   18.4494    0.3255    3.1799   -0.0677   -1.9987   -4.7444          -2.6125    0.3848   -0.6873    0.4493    3.0430   -0.9818
 2405.0   19.2175    0.3291    3.2827   -0.0659   -2.0605   -4.9431          -2.7255    0.3844   -0.6122    0.4660    3.0819   -1.0456
 2410.0   20.0072    0.3329    3.4570   -0.0356   -2.1251   -5.1556          -2.8398    0.3842   -0.6052    0.4788    3.1226   -1.1062
 2415.0   20.8252    0.3368    3.5800   -0.0157   -2.1901   -5.3686          -2.9573    0.3839   -0.5990    0.4862    3.1637   -1.1679
 2420.0   21.6589    0.3408    3.6156   -0.0031   -2.2554   -5.5791          -3.0761    0.3836   -0.5860    0.4911    3.2033   -1.2320
 2425.0   22.5151    0.3448    3.8238    0.0144   -2.3230   -5.8077          -3.1975    0.3833   -0.5466    0.5061    3.2434   -1.3023
 2430.0   23.3923    0.3490    3.9789    0.0414   -2.3923   -6.0398          -3.3210    0.3830   -0.5655    0.5188    3.2822   -1.3712
 2435.0   24.2945    0.3533    4.0440    0.0386   -2.4606   -6.2662          -3.4464    0.3826   -0.5942    0.5241    3.3229   -1.4404
 2440.0   25.2203    0.3576    4.2214    0.0622   -2.5324   -6.5104          -3.5746    0.3823   -0.5146    0.5415    3.3605   -1.5220
 2445.0   26.1702    0.3622    4.3063    0.0775   -2.6042   -6.7520          -3.7048    0.3820   -0.5112    0.5538    3.4002   -1.6005
 2450.0   27.1445    0.3668    4.5057    0.1201   -2.6793   -7.0117          -3.8371    0.3817   -0.5098    0.5616    3.4401   -1.6808
 2455.0   28.1435    0.3715    4.8233    0.1909   -2.7579   -7.2901          -3.9714    0.3815   -0.5105    0.5645    3.4802   -1.7628
 2460.0   29.1678    0.3763    5.2629    0.2908   -2.8400   -7.5874          -4.1077    0.3813   -0.5133    0.5624    3.5204   -1.8467
 2465.0   30.2178    0.3811    5.8288    0.4208   -2.9256   -7.9044          -4.2460    0.3811   -0.5184    0.5551    3.5609   -1.9324
 2470.0   31.2939    0.3861    6.5245    0.5818   -3.0149   -8.2414          -4.3864    0.3810   -0.5257    0.5421    3.6016   -2.0199
 2475.0   32.3965    0.3912    7.3544    0.7747   -3.1079   -8.5989          -4.5287    0.3809   -0.5354    0.5233    3.6424   -2.1093
 2480.0   33.5259    0.3963    8.3223    1.0005   -3.2047   -8.9774          -4.6730    0.3808   -0.5475    0.4983    3.6835   -2.2006
 2485.0   34.6826    0.4016    9.4325    1.2602   -3.3054   -9.3775          -4.8194    0.3808   -0.5620    0.4668    3.7248   -2.2939
 2490.0   35.8671    0.4069   10.6891    1.5548   -3.4100   -9.7996          -4.9676    0.3808   -0.5791    0.4287    3.7662   -2.3891
 2495.0   37.0799    0.4124   12.0964    1.8853   -3.5186  -10.2444          -5.1179    0.3809   -0.5988    0.3834    3.8079   -2.4863
 2500.0   38.3214    0.4179   13.6587    2.2526   -3.6313  -10.7124          -5.2701    0.3810   -0.6211    0.3308    3.8498   -2.5854
