!  MA19 2000 MEV P(200) CHI/DP=51634/25553                SM05   10/ 7/19
!                    PI0P Waves for L= 2   10/ 7/19
!  WCM     D33  pE   D33  pM   D13  pE   D13  pM   D13  nE   D13  nM
 1285.0   -6.8652   -0.6028    3.6358    0.9888   -4.9565   -1.0801          -0.0418    0.0096    0.0981    0.1075   -0.2619   -0.2041
 1290.0   -6.9123   -0.5930    3.6822    1.0192   -4.9934   -1.0895          -0.0452    0.0115    0.1142    0.1167   -0.2862   -0.2139
 1295.0   -6.9642   -0.5831    3.7288    1.0499   -5.0300   -1.0966          -0.0492    0.0136    0.1321    0.1263   -0.3122   -0.2237
 1300.0   -7.0072   -0.5717    3.7749    1.0810   -5.0662   -1.1018          -0.0538    0.0160    0.1517    0.1366   -0.3399   -0.2338
 1305.0   -7.0552   -0.5602    3.8213    1.1121   -5.1023   -1.1047          -0.0592    0.0187    0.1735    0.1476   -0.3696   -0.2441
 1310.0   -7.0943   -0.5472    3.8678    1.1432   -5.1386   -1.1053          -0.0655    0.0216    0.1974    0.1593   -0.4013   -0.2548
 1315.0   -7.1387   -0.5341    3.9141    1.1745   -5.1750   -1.1042          -0.0729    0.0248    0.2232    0.1717   -0.4351   -0.2659
 1320.0   -7.1741   -0.5197    3.9641    1.2066   -5.2155   -1.1015          -0.0815    0.0283    0.2512    0.1851   -0.4709   -0.2774
 1325.0   -7.2149   -0.5051    4.0099    1.2384   -5.2520   -1.0975          -0.0914    0.0322    0.2819    0.1996   -0.5094   -0.2896
 1330.0   -7.2468   -0.4892    4.0599    1.2706   -5.2933   -1.0915          -0.1028    0.0364    0.3155    0.2154   -0.5508   -0.3024
 1335.0   -7.2843   -0.4732    4.1097    1.3031   -5.3349   -1.0842          -0.1159    0.0411    0.3518    0.2323   -0.5951   -0.3158
 1340.0   -7.3128   -0.4561    4.1595    1.3359   -5.3771   -1.0758          -0.1308    0.0462    0.3910    0.2507   -0.6422   -0.3300
 1345.0   -7.3469   -0.4390    4.2096    1.3685   -5.4201   -1.0658          -0.1478    0.0517    0.4338    0.2707   -0.6930   -0.3451
 1350.0   -7.3720   -0.4208    4.2636    1.4019   -5.4680   -1.0546          -0.1668    0.0577    0.4804    0.2924   -0.7476   -0.3608
 1355.0   -7.4028   -0.4027    4.3142    1.4348   -5.5129   -1.0424          -0.1882    0.0641    0.5310    0.3158   -0.8064   -0.3774
 1360.0   -7.4244   -0.3836    4.3689    1.4687   -5.5629   -1.0289          -0.2119    0.0710    0.5860    0.3412   -0.8696   -0.3947
 1365.0   -7.4517   -0.3647    4.4204    1.5019   -5.6102   -1.0144          -0.2380    0.0783    0.6457    0.3687   -0.9376   -0.4128
 1370.0   -7.4699   -0.3450    4.4763    1.5360   -5.6630   -0.9985          -0.2667    0.0860    0.7107    0.3984   -1.0109   -0.4317
 1375.0   -7.4936   -0.3255    4.5292    1.5691   -5.7134   -0.9821          -0.2979    0.0941    0.7817    0.4308   -1.0904   -0.4515
 1380.0   -7.5081   -0.3051    4.5828    1.6029   -5.7656   -0.9647          -0.3317    0.1026    0.8588    0.4655   -1.1760   -0.4719
 1385.0   -7.5207   -0.2846    4.6411    1.6376   -5.8236   -0.9460          -0.3682    0.1115    0.9429    0.5031   -1.2691   -0.4931
 1390.0   -7.5392   -0.2642    4.6964    1.6722   -5.8797   -0.9266          -0.4075    0.1208    1.0348    0.5441   -1.3702   -0.5153
