!  MA19 2000 MEV P(200) CHI/DP=51634/25553                SM05   10/ 7/19
!                    PI0P Waves for L= 3   10/ 7/19
!  WCM     F37  pE   F37  pM   F17  pE   F17  pM   F17  nE   F17  nM
 1290.0   -0.2815    0.1786    0.1910   -0.1429   -0.1907    0.1380          -0.0017   -0.0015   -0.0001    0.0001    0.0001   -0.0001
 1295.0   -0.2824    0.1874    0.1918   -0.1448   -0.1914    0.1399          -0.0018   -0.0017   -0.0001    0.0001    0.0001   -0.0001
 1300.0   -0.2836    0.1966    0.1925   -0.1467   -0.1921    0.1417          -0.0019   -0.0019   -0.0001    0.0001    0.0001   -0.0001
 1305.0   -0.2843    0.2057    0.1931   -0.1485   -0.1928    0.1435          -0.0020   -0.0021   -0.0001    0.0001    0.0001   -0.0001
 1310.0   -0.2850    0.2149    0.1937   -0.1503   -0.1933    0.1452          -0.0021   -0.0023   -0.0001    0.0001    0.0001   -0.0001
 1315.0   -0.2858    0.2244    0.1943   -0.1520   -0.1939    0.1468          -0.0022   -0.0025   -0.0001    0.0001    0.0001   -0.0001
 1320.0   -0.2862    0.2338    0.1947   -0.1537   -0.1943    0.1484          -0.0022   -0.0027   -0.0001    0.0001    0.0001   -0.0001
 1325.0   -0.2868    0.2435    0.1951   -0.1552   -0.1947    0.1499          -0.0023   -0.0029   -0.0001    0.0001    0.0001   -0.0001
 1330.0   -0.2871    0.2531    0.1955   -0.1568   -0.1950    0.1514          -0.0024   -0.0031   -0.0001    0.0001    0.0001   -0.0001
 1335.0   -0.2875    0.2629    0.1958   -0.1583   -0.1953    0.1528          -0.0025   -0.0033   -0.0001    0.0001    0.0001   -0.0001
 1340.0   -0.2876    0.2726    0.1960   -0.1597   -0.1956    0.1541          -0.0025   -0.0035   -0.0001    0.0001    0.0001   -0.0001
 1345.0   -0.2878    0.2826    0.1963   -0.1610   -0.1958    0.1554          -0.0026   -0.0036   -0.0001    0.0001    0.0001   -0.0001
 1350.0   -0.2878    0.2923    0.1964   -0.1624   -0.1959    0.1567          -0.0027   -0.0038   -0.0001    0.0001    0.0001   -0.0001
 1355.0   -0.2879    0.3024    0.1966   -0.1636   -0.1961    0.1579          -0.0027   -0.0039   -0.0001    0.0001    0.0001   -0.0001
 1360.0   -0.2879    0.3126    0.1967   -0.1649   -0.1961    0.1590          -0.0028   -0.0041   -0.0001    0.0001    0.0001   -0.0001
 1365.0   -0.2876    0.3224    0.1967   -0.1660   -0.1962    0.1601          -0.0029   -0.0042   -0.0001    0.0001    0.0001   -0.0001
 1370.0   -0.2875    0.3326    0.1968   -0.1672   -0.1962    0.1612          -0.0029   -0.0043   -0.0001    0.0001    0.0001   -0.0001
 1375.0   -0.2874    0.3428    0.1967   -0.1682   -0.1962    0.1622          -0.0029   -0.0043   -0.0001    0.0001    0.0001   -0.0001
 1380.0   -0.2871    0.3531    0.1967   -0.1693   -0.1961    0.1632          -0.0030   -0.0043   -0.0001    0.0001    0.0001   -0.0001
 1385.0   -0.2866    0.3629    0.1966   -0.1702   -0.1961    0.1641          -0.0030   -0.0043   -0.0001    0.0001    0.0001   -0.0001
 1390.0   -0.2862    0.3732    0.1965   -0.1712   -0.1959    0.1649          -0.0030   -0.0042   -0.0001    0.0001    0.0001   -0.0001
 1395.0   -0.2858    0.3835    0.1964   -0.1721   -0.1958    0.1658          -0.0031   -0.0041   -0.0001    0.0002    0.0001   -0.0001
 1400.0   -0.2854    0.3937    0.1963   -0.1729   -0.1957    0.1665          -0.0031   -0.0040   -0.0001    0.0002    0.0001   -0.0001
 1405.0   -0.2848    0.4040    0.1961   -0.1737   -0.1955    0.1673          -0.0031   -0.0038   -0.0001    0.0002    0.0001   -0.0001
 1410.0   -0.2843    0.4143    0.1959   -0.1745   -0.1953    0.1680          -0.0031   -0.0035   -0.0001    0.0002    0.0001   -0.0001
 1415.0   -0.2837    0.4245    0.1957   -0.1752   -0.1951    0.1686          -0.0031   -0.0032   -0.0001    0.0002    0.0001   -0.0000
 1420.0   -0.2830    0.4348    0.1955   -0.1759   -0.1948    0.1693          -0.0031   -0.0028   -0.0000    0.0002    0.0000   -0.0000
 1425.0   -0.2823    0.4451    0.1952   -0.1766   -0.1945    0.1698          -0.0031   -0.0023   -0.0000    0.0002    0.0000   -0.0000
 1430.0   -0.2815    0.4553    0.1950   -0.1772   -0.1943    0.1703          -0.0030   -0.0018   -0.0000    0.0002    0.0000   -0.0000
 1435.0   -0.2807    0.4656    0.1947   -0.1777   -0.1940    0.1708          -0.0030   -0.0011   -0.0000    0.0002    0.0000   -0.0000
 1440.0   -0.2799    0.4758    0.1944   -0.1783   -0.1937    0.1713          -0.0030   -0.0004   -0.0000    0.0002    0.0000   -0.0000
 1445.0   -0.2790    0.4860    0.1941   -0.1788   -0.1933    0.1717          -0.0029    0.0004   -0.0000    0.0002    0.0000   -0.0000
 1450.0   -0.2783    0.4968    0.1938   -0.1792   -0.1930    0.1721          -0.0029    0.0013    0.0000    0.0002   -0.0000    0.0000
 1455.0   -0.2774    0.5071    0.1934   -0.1796   -0.1926    0.1724          -0.0028    0.0024    0.0000    0.0002   -0.0000    0.0000
 1460.0   -0.2764    0.5173    0.1931   -0.1800   -0.1923    0.1727          -0.0028    0.0035    0.0000    0.0002   -0.0000    0.0000
 1465.0   -0.2756    0.5281    0.1927   -0.1804   -0.1919    0.1730          -0.0027    0.0048    0.0000    0.0002   -0.0000    0.0000
 1470.0   -0.2745    0.5383    0.1923   -0.1807   -0.1915    0.1732          -0.0027    0.0062    0.0001    0.0003   -0.0001    0.0001
 1475.0   -0.2737    0.5492    0.1920   -0.1810   -0.1911    0.1734          -0.0026    0.0077    0.0001    0.0003   -0.0001    0.0001
