  W(MeV)      Re(E0+)     Im(E0+)    Re(E0-)   Im(E0-)     Re(M0+)    Im(M0+)    Re(M0-)    Im(M0-)    Re(E1+)   Im(E1+)     Re(E1-)   Im(E1-)    Re(M1+)    Im(M1+)    Re(M1-)    Im(M1-)    Re(E2+)   Im(E2+)     Re(E2-)   Im(E2-)     Re(M2+)     Im(M2+)    Re(M2-)    Im(M2-)     Re(E3+)   Im(E3+)     Re(E3-)   Im(E3-)    Re(M3+)    Im(M3+)    Re(M3-)    Im(M3-)     Re(E4+)   Im(E4+)     Re(E4-)   Im(E4-)    Re(M4+)    Im(M4+)    Re(M4-)    Im(M4-)     Re(E5+)   Im(E5+)     Re(E5-)   Im(E5-)    Re(M5+)    Im(M5+)    Re(M5-)    Im(M5-)                                                                                                  
 1130.0000    13.2845     1.6797     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.6683    -0.0181     0.0000     0.0000    -1.9393     0.0210     1.1295    -0.0180     0.3888     0.0007     1.7935     0.0022    -0.2433    -0.0004     0.4171     0.0005     0.0888    -0.0000     0.2530     0.0000    -0.0424     0.0000     0.0556     0.0000     0.0245     0.0000     0.0609     0.0000    -0.0082    -0.0000     0.0101     0.0000     0.0072     0.0000     0.0152     0.0000    -0.0019    -0.0000     0.0023     0.0000
 1135.0000    12.8516     1.6860     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.6875    -0.0207     0.0000     0.0000    -1.9816     0.0243     1.1759    -0.0198     0.4057     0.0009     1.9215     0.0030    -0.2574    -0.0005     0.4427     0.0007     0.0958    -0.0000     0.2879     0.0000    -0.0466     0.0000     0.0614     0.0000     0.0273     0.0000     0.0681     0.0000    -0.0093    -0.0000     0.0115     0.0000     0.0083     0.0000     0.0176     0.0000    -0.0022    -0.0000     0.0027     0.0000
 1140.0000    12.4077     1.6842     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.7030    -0.0234     0.0000     0.0000    -2.0184     0.0277     1.2218    -0.0213     0.4210     0.0011     2.0436     0.0040    -0.2705    -0.0007     0.4648     0.0009     0.1024    -0.0000     0.3231     0.0000    -0.0508     0.0000     0.0671     0.0000     0.0301     0.0000     0.0752     0.0000    -0.0105    -0.0000     0.0129     0.0000     0.0094     0.0000     0.0200     0.0000    -0.0026    -0.0000     0.0032     0.0000
 1145.0000    11.9832     1.6773     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.7151    -0.0261     0.0000     0.0000    -2.0500     0.0311     1.2672    -0.0225     0.4348     0.0013     2.1588     0.0052    -0.2828    -0.0008     0.4834     0.0012     0.1088    -0.0000     0.3588     0.0001    -0.0550     0.0000     0.0728     0.0000     0.0328     0.0000     0.0822     0.0000    -0.0117    -0.0000     0.0143     0.0000     0.0106     0.0000     0.0225     0.0000    -0.0029    -0.0000     0.0036     0.0000
 1150.0000    11.5718     1.6665     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.7242    -0.0288     0.0000     0.0000    -2.0767     0.0347     1.3125    -0.0234     0.4473     0.0015     2.2678     0.0066    -0.2941    -0.0010     0.4990     0.0014     0.1148    -0.0000     0.3942     0.0001    -0.0591     0.0000     0.0785     0.0000     0.0355     0.0000     0.0891     0.0000    -0.0129    -0.0000     0.0158     0.0000     0.0117     0.0000     0.0250     0.0000    -0.0033    -0.0000     0.0041     0.0000
 1155.0000    11.1977     1.6542     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.7310    -0.0315     0.0000     0.0000    -2.0993     0.0383     1.3582    -0.0238     0.4586     0.0018     2.3666     0.0082    -0.3047    -0.0012     0.5113     0.0018     0.1204    -0.0000     0.4292     0.0001    -0.0632     0.0000     0.0841     0.0000     0.0382     0.0000     0.0958     0.0000    -0.0141    -0.0000     0.0172     0.0000     0.0129     0.0000     0.0276     0.0000    -0.0037    -0.0000     0.0046     0.0000
 1160.0000    10.8568     1.6425     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.7359    -0.0343     0.0000     0.0000    -2.1183     0.0419     1.4043    -0.0238     0.4687     0.0021     2.4584     0.0100    -0.3145    -0.0014     0.5215     0.0021     0.1257    -0.0000     0.4632     0.0002    -0.0671     0.0000     0.0896     0.0000     0.0407     0.0000     0.1024     0.0000    -0.0153    -0.0000     0.0187     0.0000     0.0141    -0.0000     0.0301     0.0000    -0.0041     0.0000     0.0051     0.0000
 1165.0000    10.5478     1.6310     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.7387    -0.0370     0.0000     0.0000    -2.1335     0.0454     1.4510    -0.0232     0.4779     0.0025     2.5393     0.0121    -0.3235    -0.0017     0.5296     0.0025     0.1308    -0.0000     0.4957     0.0002    -0.0710     0.0000     0.0949     0.0000     0.0432     0.0000     0.1087     0.0000    -0.0165    -0.0000     0.0201     0.0000     0.0153    -0.0000     0.0326     0.0000    -0.0044     0.0000     0.0056     0.0000
 1170.0000    10.2690     1.6198     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.7404    -0.0398     0.0000     0.0000    -2.1459     0.0491     1.4987    -0.0220     0.4861     0.0028     2.6156     0.0144    -0.3318    -0.0019     0.5373     0.0030     0.1355    -0.0000     0.5270     0.0003    -0.0749     0.0000     0.1002     0.0001     0.0456     0.0000     0.1149     0.0000    -0.0178    -0.0000     0.0215     0.0000     0.0164    -0.0000     0.0352     0.0000    -0.0048     0.0000     0.0062     0.0000
 1175.0000    10.0175     1.6099     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.7406    -0.0425     0.0000     0.0000    -2.1553     0.0527     1.5474    -0.0201     0.4935     0.0032     2.6821     0.0171    -0.3394    -0.0022     0.5441     0.0035     0.1400    -0.0000     0.5566     0.0004    -0.0786     0.0000     0.1054     0.0001     0.0480     0.0000     0.1210     0.0000    -0.0190    -0.0000     0.0230     0.0000     0.0176    -0.0000     0.0377     0.0000    -0.0052     0.0000     0.0067     0.0000
 1180.0000     9.7975     1.6008     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.7397    -0.0452     0.0000     0.0000    -2.1621     0.0562     1.5973    -0.0174     0.5002     0.0035     2.7416     0.0200    -0.3464    -0.0024     0.5511     0.0040     0.1442    -0.0000     0.5848     0.0004    -0.0823     0.0000     0.1107     0.0001     0.0502     0.0000     0.1268     0.0000    -0.0202    -0.0000     0.0244     0.0000     0.0187    -0.0000     0.0401     0.0000    -0.0057     0.0000     0.0073     0.0000
 1185.0000     9.5908     1.5933     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.7378    -0.0480     0.0000     0.0000    -2.1663     0.0598     1.6486    -0.0137     0.5061     0.0039     2.7970     0.0233    -0.3528    -0.0027     0.5590     0.0046     0.1481    -0.0000     0.6105     0.0006    -0.0858     0.0000     0.1157     0.0001     0.0524     0.0000     0.1324     0.0000    -0.0214    -0.0000     0.0258     0.0000     0.0198    -0.0000     0.0426     0.0000    -0.0061     0.0000     0.0078     0.0000
 1190.0000     9.4015     1.5863     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.7352    -0.0506     0.0000     0.0000    -2.1684     0.0633     1.7013    -0.0091     0.5114     0.0043     2.8474     0.0268    -0.3585    -0.0030     0.5679     0.0054     0.1518    -0.0000     0.6340     0.0007    -0.0893     0.0000     0.1207     0.0001     0.0545     0.0000     0.1379     0.0000    -0.0226    -0.0000     0.0272     0.0000     0.0209    -0.0000     0.0450     0.0000    -0.0065     0.0000     0.0084     0.0000
 1195.0000     9.2357     1.5796     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.7320    -0.0533     0.0000     0.0000    -2.1687     0.0667     1.7557    -0.0034     0.5162     0.0048     2.8937     0.0308    -0.3637    -0.0034     0.5780     0.0061     0.1553    -0.0000     0.6554     0.0008    -0.0927     0.0000     0.1255     0.0002     0.0565     0.0000     0.1431     0.0000    -0.0238    -0.0000     0.0285     0.0000     0.0220    -0.0000     0.0473     0.0000    -0.0069     0.0000     0.0090     0.0000
 1200.0000     9.0759     1.5745     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.7281    -0.0559     0.0000     0.0000    -2.1669     0.0701     1.8122     0.0035     0.5203     0.0052     2.9392     0.0351    -0.3683    -0.0037     0.5901     0.0070     0.1586    -0.0000     0.6747     0.0010    -0.0961     0.0000     0.1303     0.0002     0.0584     0.0000     0.1482     0.0000    -0.0250    -0.0000     0.0299     0.0000     0.0231    -0.0000     0.0497     0.0000    -0.0073     0.0000     0.0095     0.0000
 1205.0000     8.9358     1.5695     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.7236    -0.0585     0.0000     0.0000    -2.1634     0.0734     1.8695     0.0119     0.5241     0.0057     2.9798     0.0398    -0.3723    -0.0040     0.6031     0.0080     0.1616    -0.0000     0.6925     0.0011    -0.0993     0.0000     0.1351     0.0002     0.0602     0.0000     0.1531     0.0000    -0.0262    -0.0000     0.0312     0.0000     0.0241    -0.0000     0.0519     0.0000    -0.0077     0.0000     0.0101     0.0000
 1210.0000     8.8062     1.5650     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.7188    -0.0610     0.0000     0.0000    -2.1583     0.0766     1.9295     0.0217     0.5268     0.0061     3.0212     0.0449    -0.3755    -0.0044     0.6182     0.0092     0.1645    -0.0000     0.7078     0.0013    -0.1025     0.0000     0.1396     0.0003     0.0620     0.0000     0.1578     0.0000    -0.0273    -0.0000     0.0325     0.0000     0.0251    -0.0000     0.0542     0.0000    -0.0081     0.0000     0.0107     0.0000
 1215.0000     8.6861     1.5611     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.7135    -0.0635     0.0000     0.0000    -2.1517     0.0798     1.9903     0.0333     0.5297     0.0066     3.0615     0.0504    -0.3786    -0.0047     0.6348     0.0104     0.1672    -0.0000     0.7219     0.0015    -0.1056     0.0000     0.1443     0.0003     0.0637     0.0000     0.1623     0.0000    -0.0285    -0.0000     0.0338     0.0000     0.0261    -0.0000     0.0563     0.0000    -0.0085     0.0000     0.0113     0.0000
 1220.0000     8.5701     1.5414     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.7078    -0.0660     0.0000     0.0000    -2.1437     0.0829     2.0541     0.0470     0.5322     0.0071     3.1012     0.0506    -0.3812    -0.0050     0.6528     0.0144     0.1697    -0.0000     0.7336    -0.0033    -0.1086     0.0000     0.1487     0.0003     0.0653     0.0000     0.1666     0.0000    -0.0296    -0.0000     0.0351     0.0000     0.0271    -0.0000     0.0585     0.0000    -0.0088     0.0000     0.0118     0.0000
 1225.0000     8.4682     1.5215     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.7019    -0.0682     0.0000     0.0000    -2.1345     0.0857     2.1208     0.0622     0.5343     0.0075     3.1401     0.0426    -0.3833    -0.0053     0.6723     0.0197     0.1720    -0.0000     0.7442    -0.0117    -0.1115     0.0000     0.1532     0.0003     0.0669     0.0000     0.1707     0.0001    -0.0307    -0.0000     0.0363     0.0000     0.0280    -0.0000     0.0605     0.0000    -0.0092     0.0000     0.0124     0.0000
 1230.0000     8.3716     1.5064     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.6957    -0.0704     0.0000     0.0000    -2.1240     0.0885     2.1886     0.0797     0.5361     0.0080     3.1785     0.0368    -0.3849    -0.0056     0.6932     0.0255     0.1742    -0.0000     0.7525    -0.0201    -0.1144     0.0000     0.1575     0.0003     0.0683     0.0000     0.1747     0.0001    -0.0318    -0.0000     0.0375     0.0000     0.0289    -0.0000     0.0626     0.0000    -0.0096     0.0000     0.0130     0.0000
